frame,landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_vis,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_vis,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_vis,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_vis,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_vis,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_vis,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_vis,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_vis,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_vis,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_vis,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_vis,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_vis,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_vis,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_vis,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_vis
0,0.27680572867393494,0.3135964572429657,-0.19971410930156708,0.860954225063324,0.25070714950561523,0.3376527428627014,-0.16606387495994568,0.9398611187934875,0.25350821018218994,0.3476687967777252,-0.3096116781234741,0.8324394822120667,0.24368301033973694,0.4201607406139374,-0.06767154484987259,0.9943934679031372,0.2775059640407562,0.4925581216812134,-0.3106476962566376,0.9324941039085388,0.3129359483718872,0.46092909574508667,0.07038787007331848,0.7451764941215515,0.3878268003463745,0.5529361963272095,-0.2287057340145111,0.16758516430854797,0.35651734471321106,0.37527725100517273,0.040087323635816574,0.5554807186126709,0.3787303566932678,0.39826273918151855,-0.08664169907569885,0.19888201355934143,0.35981467366218567,0.3429238200187683,0.03319460526108742,0.5499430894851685,0.38467052578926086,0.35739415884017944,-0.10110649466514587,0.211931511759758,0.35332241654396057,0.33000582456588745,-0.0019831927493214607,0.555523157119751,0.3721054792404175,0.34851938486099243,-0.10285522788763046,0.21084649860858917,0.35183295607566833,0.34596797823905945,0.023700421676039696,0.5494809746742249,0.36949485540390015,0.3630349040031433,-0.08384092897176743,0.21070170402526855
1,0.2765941917896271,0.32274654507637024,-0.16082993149757385,0.8748329281806946,0.24826261401176453,0.3393803834915161,-0.1168881505727768,0.9458378553390503,0.25061020255088806,0.35698607563972473,-0.27873700857162476,0.8491739630699158,0.24381035566329956,0.4307278096675873,-0.02277371846139431,0.9949321746826172,0.27384594082832336,0.4944342076778412,-0.285447895526886,0.9392362833023071,0.30996090173721313,0.4718417823314667,0.09748982638120651,0.679777979850769,0.3845071494579315,0.5607753396034241,-0.20777936279773712,0.24950893223285675,0.3370596468448639,0.3988400995731354,0.06237264350056648,0.5228992104530334,0.36415672302246094,0.397715300321579,-0.038621123880147934,0.276187926530838,0.33634769916534424,0.3638952970504761,0.05969715863466263,0.5211308002471924,0.36172226071357727,0.35736075043678284,-0.04393025487661362,0.2866427004337311,0.33323362469673157,0.3534502387046814,0.034198518842458725,0.5289385914802551,0.3480040431022644,0.3515772223472595,-0.0392979234457016,0.2859508991241455,0.335673451423645,0.3771093785762787,0.04996832460165024,0.5240783095359802,0.3483554720878601,0.3659154176712036,-0.03134347125887871,0.28424564003944397
2,0.2731875479221344,0.34106338024139404,-0.17142462730407715,0.8873223066329956,0.24569587409496307,0.3486739993095398,-0.11942236870527267,0.9512119293212891,0.24805524945259094,0.3661990761756897,-0.28451380133628845,0.8642374873161316,0.2443624585866928,0.42987746000289917,-0.016873927786946297,0.995416522026062,0.2687371075153351,0.502470850944519,-0.2911539673805237,0.9453077912330627,0.3227134048938751,0.4710870385169983,0.07892876118421555,0.6228958368301392,0.3795105814933777,0.58111172914505,-0.20767627656459808,0.32263481616973877,0.3358383774757385,0.4035791754722595,-0.008508380502462387,0.49256449937820435,0.3653621971607208,0.4142613708972931,-0.025566183030605316,0.34406545758247375,0.32649150490760803,0.3768312931060791,-0.014557210728526115,0.49330395460128784,0.35958132147789,0.38444221019744873,-0.025550050660967827,0.35133540630340576,0.3273434042930603,0.3751465380191803,-0.028531135991215706,0.5025107860565186,0.34783652424812317,0.38596370816230774,-0.02295534871518612,0.35106614232063293,0.3273652493953705,0.39275097846984863,-0.017680585384368896,0.49888214468955994,0.3493947982788086,0.39788421988487244,-0.017860857769846916,0.34757333993911743
3,0.26472577452659607,0.3495499789714813,-0.17365604639053345,0.8985647559165955,0.2366204410791397,0.3636271059513092,-0.1270107477903366,0.9560436606407166,0.23765252530574799,0.3793351352214813,-0.28869399428367615,0.8777872920036316,0.2439412623643875,0.4464355707168579,-0.0234390776604414,0.9958488345146179,0.26371729373931885,0.5132783055305481,-0.2937454879283905,0.9507715106010437,0.3318174183368683,0.49741968512535095,0.06444893032312393,0.5710409283638,0.37127020955085754,0.5987240076065063,-0.21121075749397278,0.3884117305278778,0.3511168360710144,0.4292934238910675,-0.02338833548128605,0.4758756160736084,0.37951818108558655,0.4395824074745178,-0.038849763572216034,0.40656113624572754,0.3548469543457031,0.4026208519935608,-0.0329648032784462,0.48130229115486145,0.37786367535591125,0.4072451889514923,-0.02963418886065483,0.4120902121067047,0.3441980481147766,0.3831617832183838,-0.05639170482754707,0.49303919076919556,0.36198556423187256,0.40134379267692566,-0.04086833447217941,0.41213473677635193,0.3413398861885071,0.4012022316455841,-0.036613836884498596,0.4898476302623749,0.3617246448993683,0.4137541651725769,-0.021069718524813652,0.4074934124946594
4,0.25412315130233765,0.3522438406944275,-0.2165561020374298,0.908675491809845,0.22714129090309143,0.37052252888679504,-0.15551923215389252,0.9603562355041504,0.22645501792430878,0.38677695393562317,-0.33347758650779724,0.8899697661399841,0.24230670928955078,0.4504307210445404,-0.052087120711803436,0.9962259531021118,0.25742456316947937,0.5209488272666931,-0.3308834135532379,0.9556874632835388,0.32833078503608704,0.5031296610832214,0.05722416937351227,0.5263229608535767,0.36590054631233215,0.6060674786567688,-0.2796027958393097,0.4485296607017517,0.3797506093978882,0.4306931495666504,-0.0015655270544812083,0.46037882566452026,0.4098566174507141,0.45300546288490295,-0.17877697944641113,0.4640516936779022,0.3934583365917206,0.4039819538593292,-0.009332720190286636,0.4681711792945862,0.42259249091148376,0.4178714454174042,-0.19813326001167297,0.46815231442451477,0.39139795303344727,0.39180636405944824,-0.037927865982055664,0.4827360212802887,0.4088870882987976,0.4073202908039093,-0.19358761608600616,0.46829336881637573,0.38616693019866943,0.4138267934322357,-0.015521581284701824,0.4813171327114105,0.4046262204647064,0.4204951822757721,-0.1717352569103241,0.46257302165031433
5,0.24222786724567413,0.3571246266365051,-0.2096242755651474,0.9177802801132202,0.2153405100107193,0.3794841170310974,-0.13849622011184692,0.9642366766929626,0.2125449776649475,0.39870500564575195,-0.31486183404922485,0.9009421467781067,0.23733656108379364,0.46077075600624084,-0.03627057000994682,0.9965468645095825,0.25584766268730164,0.5246211290359497,-0.31540149450302124,0.9601117968559265,0.32199475169181824,0.5209017992019653,0.08900436758995056,0.484202116727829,0.3586663603782654,0.6172052621841431,-0.26535969972610474,0.5030847191810608,0.3731651306152344,0.4689842164516449,0.0772717297077179,0.43730756640434265,0.4094468653202057,0.4737183451652527,-0.17709775269031525,0.5165480375289917,0.3870881497859955,0.4380512237548828,0.07429739087820053,0.44747042655944824,0.4276808798313141,0.4372265338897705,-0.19711396098136902,0.5195257663726807,0.38594770431518555,0.42813631892204285,0.045350607484579086,0.46357741951942444,0.4116572141647339,0.4220675230026245,-0.19009312987327576,0.519717812538147,0.3806966543197632,0.43938344717025757,0.06378592550754547,0.4637884497642517,0.4050959348678589,0.4365566074848175,-0.1701284497976303,0.5133561491966248
6,0.22849534451961517,0.35792994499206543,-0.2071739286184311,0.9259583353996277,0.2014598548412323,0.3874935507774353,-0.12969569861888885,0.9676784873008728,0.1991432160139084,0.40624871850013733,-0.29822415113449097,0.91081702709198,0.23457370698451996,0.45758572220802307,-0.02490541897714138,0.9967789649963379,0.2519589066505432,0.5296048521995544,-0.30285772681236267,0.9640928506851196,0.3159443736076355,0.5189939737319946,0.09613798558712006,0.4418545961380005,0.3507470488548279,0.625167727470398,-0.25701507925987244,0.5520581007003784,0.37067359685897827,0.4741404354572296,0.08155480772256851,0.4033396244049072,0.4021332561969757,0.47712990641593933,-0.14022518694400787,0.5631929636001587,0.38401705026626587,0.4592939019203186,0.07864164561033249,0.4150802791118622,0.4142109453678131,0.44777050614356995,-0.15538163483142853,0.5648209452629089,0.3831866383552551,0.4485890567302704,0.05256477743387222,0.431005597114563,0.40045538544654846,0.4343077838420868,-0.15016382932662964,0.5650644302368164,0.37520673871040344,0.4557572901248932,0.06881704181432724,0.43296337127685547,0.3955879509449005,0.44672447443008423,-0.13341738283634186,0.5578014850616455
7,0.21710635721683502,0.36940863728523254,-0.19030100107192993,0.9333276748657227,0.19206169247627258,0.400368869304657,-0.11435184627771378,0.9707909226417542,0.19038306176662445,0.42577406764030457,-0.2674643397331238,0.9197163581848145,0.22959046065807343,0.45650410652160645,-0.011888792738318443,0.9969696402549744,0.24251751601696014,0.5392122864723206,-0.27152904868125916,0.9676790237426758,0.30712318420410156,0.5173094868659973,0.11370877176523209,0.40334463119506836,0.3430439829826355,0.6319612264633179,-0.21599861979484558,0.5962323546409607,0.36287975311279297,0.4609159827232361,0.0987805649638176,0.3741786777973175,0.3867398202419281,0.47472313046455383,-0.09667417407035828,0.6054731011390686,0.37266427278518677,0.43887707591056824,0.0946800485253334,0.3883017897605896,0.3947834074497223,0.44253548979759216,-0.10268301516771317,0.606011152267456,0.37249431014060974,0.4261120855808258,0.06979475170373917,0.4042443335056305,0.38387981057167053,0.4328697621822357,-0.09482105076313019,0.6062635183334351,0.36329299211502075,0.44015491008758545,0.08644842356443405,0.40791431069374084,0.3790145516395569,0.444791704416275,-0.08668986707925797,0.598636269569397
8,0.20976518094539642,0.38999995589256287,-0.20949257910251617,0.9399935603141785,0.1867072731256485,0.4045138657093048,-0.11176203936338425,0.9736994504928589,0.17905238270759583,0.4514041543006897,-0.23178403079509735,0.9277440309524536,0.22474783658981323,0.4572185277938843,0.008433117531239986,0.9972230792045593,0.22843345999717712,0.5526366829872131,-0.22901196777820587,0.9709104299545288,0.3010683059692383,0.5159730911254883,0.08679773658514023,0.3706504702568054,0.33441007137298584,0.6375851631164551,-0.17673882842063904,0.6362795233726501,0.317697674036026,0.45772942900657654,-0.029236000031232834,0.36189621686935425,0.3655758798122406,0.47075188159942627,-0.060326721519231796,0.6437428593635559,0.32722437381744385,0.42857539653778076,-0.048660099506378174,0.38185542821884155,0.36542198061943054,0.43550097942352295,-0.06164836883544922,0.6431884169578552,0.32223135232925415,0.4172420799732208,-0.0643661692738533,0.39779576659202576,0.35554248094558716,0.4294089376926422,-0.056026559323072433,0.6434104442596436,0.31885528564453125,0.43170374631881714,-0.04093565419316292,0.4022606313228607,0.35503292083740234,0.441792756319046,-0.050014298409223557,0.635909914970398
9,0.19727927446365356,0.4114018976688385,-0.2868318259716034,0.945993185043335,0.17661553621292114,0.41459721326828003,-0.15073807537555695,0.9763093590736389,0.1681467741727829,0.4751116633415222,-0.24961064755916595,0.9349690079689026,0.21644248068332672,0.45757409930229187,-0.004096484277397394,0.9974519610404968,0.21806509792804718,0.5660914182662964,-0.2392251342535019,0.9738186597824097,0.293838769197464,0.5128005146980286,0.06388179957866669,0.34356677532196045,0.3251720368862152,0.644702136516571,-0.18159939348697662,0.6724423170089722,0.308237761259079,0.44484513998031616,-0.06144757196307182,0.36303961277008057,0.35458114743232727,0.47351905703544617,-0.1554236263036728,0.6785169839859009,0.31776508688926697,0.42272400856018066,-0.08242423832416534,0.38851210474967957,0.3551308214664459,0.43688711524009705,-0.1672293245792389,0.6771244406700134,0.31197208166122437,0.4089929461479187,-0.1000555083155632,0.4040622413158417,0.34337157011032104,0.4311281144618988,-0.1607120931148529,0.6773065328598022,0.3087727725505829,0.42407187819480896,-0.07374214380979538,0.40824148058891296,0.3429328501224518,0.4424758851528168,-0.14612630009651184,0.6700482368469238
