start_frame,end_frame,dist_wrists_mean,noseL_wrist_mean,noseR_wrist_mean,elbowL_mean,elbowR_mean,L_wrist_pinky_mean,L_wrist_index_mean,L_wrist_thumb_mean,R_wrist_pinky_mean,R_wrist_index_mean,R_wrist_thumb_mean,landmark_15_vel_mean,landmark_15_vel_std,landmark_16_vel_mean,landmark_16_vel_std,landmark_17_vel_mean,landmark_17_vel_std,landmark_18_vel_mean,landmark_18_vel_std,landmark_19_vel_mean,landmark_19_vel_std,landmark_20_vel_mean,landmark_20_vel_std,landmark_21_vel_mean,landmark_21_vel_std,landmark_22_vel_mean,landmark_22_vel_std
0,60,1.2608265135263799,1.1366613808532313,1.106477811080981,2.113321682148867,2.3367934074288486,0.18934848375492475,0.2796726468032876,0.13399906577366452,0.201913753194194,0.3058742978852958,0.15954907634108867,0.07129478375369953,0.08308640858558507,0.11090173070696588,0.1094152201076883,0.08173154322518937,0.09180954914788812,0.12202969368891539,0.11814933756983753,0.08299077767471101,0.09493467056015961,0.12256344689880518,0.11711097445118349,0.07439509257373977,0.08483373196842214,0.1152239324619686,0.10921355548814783
30,90,0.7549827216008435,1.1025898572347423,0.9544030467947816,2.3175326652000052,2.1298435196454815,0.1920170756060778,0.285958835679633,0.13422102301405783,0.19937372636587636,0.2878816597467308,0.1735752144373984,0.10564669047300518,0.1681332128369942,0.15879235151681634,0.20949826610057629,0.11924773854615843,0.18245806493570624,0.17402029107051395,0.23547581562129047,0.12398773082869435,0.18259751312968298,0.17630271743356185,0.2318661469392572,0.11024527999196848,0.17261737641329306,0.16254266342476395,0.21334629933977142
60,120,0.6806134858278087,1.0205083470316756,0.9279780954529284,2.0156907866813776,2.338846105053352,0.18662252052545653,0.27895476947929776,0.1532845207270431,0.19571732479930937,0.28478907556383815,0.16990867687302733,0.08066586492601215,0.15687357206989863,0.10421547896348676,0.2002314843276699,0.08811906372441816,0.17016857411035102,0.11325255246925857,0.22631715475093514,0.09141050399671014,0.1695362240056131,0.11526106921020675,0.2230021698670801,0.0824288688109388,0.16158930210303543,0.10613852406156307,0.20483963544752415
90,150,0.6261260112006628,0.9824568779782699,0.8967406215813767,2.028712820747451,2.3381114511790537,0.18357791949599225,0.2708448032104879,0.14580827024076923,0.1889201048091152,0.2799456253765486,0.17291454658757469,0.035338208395124665,0.036285555983456966,0.027565647350182094,0.029694846038427324,0.03945989612298901,0.038678943804058924,0.02958405120800324,0.030140670994496396,0.039353788519852065,0.03853118227115314,0.030341300581820916,0.03012046566937723,0.035934742121350026,0.036109568518558836,0.028259370097254714,0.029414561735016533
120,180,0.6067375132238683,0.9386413053590553,0.8682444523883525,1.9429219790498429,2.196186649959361,0.1983121767524077,0.2882328185472601,0.14610756847304568,0.20046257618744343,0.2864871824447676,0.16902084567861228,0.041517855809224555,0.05945502656707603,0.046323747880548084,0.08758025411680335,0.04613624802253334,0.06472810119804136,0.050055167461547374,0.09564520576478902,0.04675320544486304,0.06831739136578216,0.05113066014897019,0.09587663208197976,0.042925828104673165,0.06147074813856813,0.04770489612859941,0.08873056819799681
150,210,0.48173669314197104,0.7103794199553127,0.7295017181891414,1.4582193669675447,1.7286428755904302,0.19959631436324848,0.2588446533407523,0.14562657700255496,0.1699093221325164,0.22958805166381063,0.1273102222807695,0.08826865711738995,0.10104407441475559,0.08819681692195828,0.10810147948234984,0.09528035633603325,0.10806510559194614,0.09488821662304568,0.11548944859420765,0.09710386862947948,0.11217745592089286,0.09823700197820648,0.11687393164138658,0.09071415830289671,0.10359192143711939,0.09013049876658932,0.10848599637835794
180,240,0.7244365457587778,0.6370370082344138,0.6340765341223958,0.7967898147916858,0.9455018196531689,0.17316071792592855,0.20040204821153199,0.13559148967500892,0.13994426706126173,0.1725589688275165,0.09930614447631779,0.1726603384099294,0.18237236862293538,0.1931910691487136,0.23359246143057413,0.19006751854090997,0.19867870008004812,0.21245003060501685,0.2756741784111511,0.1923826057953243,0.20407698512500064,0.2142282526692536,0.2682970586184768,0.17873629707252575,0.18711347414799628,0.1972304798191341,0.24272273378783787
210,270,1.375431074747123,0.8575395981499397,0.8289520222670503,0.8253343005590116,1.098765254995586,0.16506144561804273,0.20326311121109347,0.13501946544567173,0.17663215167903704,0.21177669848049277,0.11580867414884476,0.24416267294027513,0.2422190402565568,0.3050447128995499,0.28226591337302875,0.2652790375255251,0.2591972116998167,0.3333302950575883,0.3294966681633567,0.2665536548897665,0.2607510504819713,0.3292845092640792,0.32286841814356265,0.25095003815357164,0.24614226158709815,0.31109358924486347,0.29389476464922293
240,300,1.5317842314711905,0.880633440969675,1.0761683750002127,1.3473247759110192,2.1198087223675586,0.19191060007369978,0.25393978360983893,0.15836313421653683,0.21256429405724758,0.2601272785491437,0.10760962936662323,0.245986750768529,0.21305644620986358,0.28650750947373244,0.2147299952050352,0.25421463998986893,0.22390606258220347,0.29787193153593633,0.2321003278994851,0.25255993123446835,0.22252039507127533,0.2867691696503075,0.2267334493411431,0.24731528601039335,0.2147305204331972,0.2862941748542196,0.2184521676778544
270,330,1.1958102085214966,0.7126272145447335,0.8614006283389594,1.3278375277488754,2.0095254115890726,0.20022557550898595,0.26676393715249447,0.17494236469087543,0.17079255756206763,0.21979474171963928,0.08510692431795465,0.17285160352795922,0.1419100507957681,0.2765266087370526,0.3097556947163016,0.1766106721986366,0.1399428479409145,0.28537385781543934,0.3268623576153659,0.1761627273857825,0.1408048471575541,0.2770351820390674,0.31505021765508057,0.1726772566026218,0.1403432968359721,0.2739031745093641,0.3066443045515168
