start_frame,end_frame,dist_wrists_mean,noseL_wrist_mean,noseR_wrist_mean,elbowL_mean,elbowR_mean,L_wrist_pinky_mean,L_wrist_index_mean,L_wrist_thumb_mean,R_wrist_pinky_mean,R_wrist_index_mean,R_wrist_thumb_mean,landmark_15_vel_mean,landmark_15_vel_std,landmark_16_vel_mean,landmark_16_vel_std,landmark_17_vel_mean,landmark_17_vel_std,landmark_18_vel_mean,landmark_18_vel_std,landmark_19_vel_mean,landmark_19_vel_std,landmark_20_vel_mean,landmark_20_vel_std,landmark_21_vel_mean,landmark_21_vel_std,landmark_22_vel_mean,landmark_22_vel_std
0,60,1.820608058101167,1.631779237557778,1.2520881304490339,1.8766248288752165,0.7859702541191305,0.21293644981339807,0.29201937536164674,0.15095386898229043,0.3004822636573969,0.3232797590499479,0.19945368786390114,0.16652770333995104,0.11636167100448315,0.21379171929981544,0.24047898506821205,0.18892769019948577,0.12687255725169366,0.2405717528051945,0.2687094081625631,0.2022722123480597,0.16070727729066472,0.23857526863251105,0.2603522449649356,0.17309251544137227,0.11276995922639138,0.21902771892758063,0.2434615349675698
30,90,0.9330638303717161,1.0781609541038932,0.8832011486251264,1.2874848310417826,0.4936612966727913,0.20523089351408794,0.20849695955698663,0.15401595068786644,0.23890107150257298,0.23315240614301472,0.15493992354830452,0.1409960633649514,0.11761540580141017,0.11549506844461614,0.09806656900630105,0.15780115369863962,0.1273963072471993,0.1269080194839041,0.10479597028858323,0.15411017943161548,0.1194358197343293,0.13013570057694052,0.1065264414406957,0.14359638442086156,0.1149026853263399,0.11910136849818621,0.10123726699941889
60,120,0.3237611340020772,0.6360226890610087,0.6279866370278323,0.6669067982110346,0.7342801209551358,0.21386524088885694,0.20134483728289712,0.15825005256406577,0.1917999745668186,0.19434718702771503,0.1512196983847242,0.09081288668944934,0.0854711149266806,0.11446565749062051,0.13186162524289635,0.10063169691730475,0.09007120920610044,0.12662661731221792,0.14380144327382477,0.09809060480572766,0.09011765170969294,0.12572394526057493,0.14327898050742524,0.09233501130606528,0.08484757584516178,0.11698353512017062,0.1345604751411615
90,150,0.7769428315406597,0.5753647547300447,0.7818470524492426,0.371502756966968,1.1808703152772928,0.20818778075277067,0.20775313983708785,0.16699747792507658,0.17197801926347592,0.19714504636325686,0.15205419902251788,0.10015484160665823,0.09435952046047216,0.19382490483765902,0.19251222892295794,0.11836281255783869,0.10009498497407156,0.2203448816804772,0.20957259191937178,0.1105097858829333,0.09693378964697752,0.21722587821341707,0.20866105038854338,0.10256014198015982,0.09398023974111115,0.20151937660065333,0.1970607150869683
120,180,1.0849842866511619,0.6266585456427218,1.331481445702328,0.2367708532544432,1.3419013787523426,0.22868539334850735,0.2453137684249433,0.1780152530904176,0.24395914436833344,0.25436666380303374,0.1858883348512136,0.1661618858274069,0.14424504407973557,0.23472304385411988,0.17574273740263918,0.1982519692449063,0.1574840560680924,0.27787980846774885,0.1950794162078307,0.18598908094252276,0.15350284050687021,0.2780920698964345,0.1965317301437989,0.17021493269522908,0.14415713454108678,0.24944172227092512,0.17994092325509517
150,210,1.091622606199486,0.6606960549688271,1.7933822537424113,0.0,1.336272503760108,0.27364244641444396,0.3170380033474815,0.17759989568005644,0.3054700532293915,0.30694829878734914,0.22338896315765883,0.30468397108144707,0.1377283288948983,0.24293657809069413,0.1851936431259098,0.349966415215716,0.16295463871310337,0.3024022742464259,0.21467947483415306,0.33475612323891446,0.1653377541571198,0.3139062479393701,0.22418240765421207,0.308973964658892,0.14237591580947181,0.27276897365903374,0.19880963422863226
180,240,1.9216081440266628,2.063887052098278,1.557497980151515,2.8168476744848823,1.3561988844868875,0.2632122294496331,0.37778174345670407,0.15235184463499626,0.2960942521187389,0.3240633570372235,0.22559369034809695,0.11761170085859887,0.19294134988739886,0.21159582033711583,0.18830785634018515,0.11843333656677693,0.21602145593786373,0.2587256753472142,0.22034121444127325,0.10079807889522678,0.21813537096877375,0.26686608629931124,0.22759771780343985,0.09582836248560384,0.20324172282436392,0.2342927188805542,0.20308222411289514
210,270,2.0248335947891443,2.195462432409822,1.1546242364723445,2.642835695540686,1.5017691244934284,0.2761470593336317,0.4055146109119316,0.17048737895795585,0.30912735096941035,0.356621125012395,0.22809036715519582,0.1379314628688619,0.17803660074177036,0.14755525676257847,0.15291249715174518,0.14831397578744465,0.19949404858843917,0.16543946022916295,0.17099789698553391,0.14081502910190202,0.1978112502007914,0.1645421716367364,0.16917615993664079,0.13109581112366728,0.18416616087232826,0.15050115806016442,0.15538023976840284
240,300,2.30422752720448,2.5560018456879128,1.986256174820263,2.5434002790011454,1.9655944989414984,0.3015359652000497,0.4509063541879814,0.21011809823423722,0.45706250562883693,0.4973002224871673,0.2882284676568797,0.1719605871757292,0.15921673667103328,0.24060984275831349,0.18414277883001604,0.18624001830366607,0.17738132225871245,0.2801588595704067,0.21297799097336811,0.1844213099674537,0.1733865908275585,0.28608224583413877,0.21556338323204519,0.1713289531749854,0.16265224166464531,0.2576885129664023,0.19468156283981086
270,330,3.677103864982122,4.33901978309278,2.744829337138785,0.0,2.3137059950473615,0.40787636495219376,0.624947224026989,0.3985352868685907,0.544455756675972,0.5630750691280028,0.3082544685046322,0.25911734297369576,0.11446610349956822,0.27750904937156373,0.18020109637415704,0.22915971580253924,0.16272213069960023,0.3287440434323835,0.2091931175042863,0.23095803781698165,0.16368692464401505,0.34470747805381463,0.21216532609336247,0.22665770600462612,0.15588165877530405,0.31245104174420524,0.19206793871309746
