start_frame,end_frame,dist_wrists_mean,noseL_wrist_mean,noseR_wrist_mean,elbowL_mean,elbowR_mean,L_wrist_pinky_mean,L_wrist_index_mean,L_wrist_thumb_mean,R_wrist_pinky_mean,R_wrist_index_mean,R_wrist_thumb_mean,landmark_15_vel_mean,landmark_15_vel_std,landmark_16_vel_mean,landmark_16_vel_std,landmark_17_vel_mean,landmark_17_vel_std,landmark_18_vel_mean,landmark_18_vel_std,landmark_19_vel_mean,landmark_19_vel_std,landmark_20_vel_mean,landmark_20_vel_std,landmark_21_vel_mean,landmark_21_vel_std,landmark_22_vel_mean,landmark_22_vel_std
0,60,1.8594496066571902,1.3147300432145022,1.95620350385189,2.6505842655765752,2.839757057451204,0.15141273458883156,0.2199747689955691,0.12304040851780032,0.17632359781642737,0.17337562807370727,0.12843796530096638,0.2816621357577189,0.9806125652935057,0.49501604615859685,1.7723097693780585,0.3144575024921457,1.1123249879246755,0.5294708252487123,1.838557052958577,0.3229012735749662,1.1541560162537443,0.539389946663878,1.8916094129766614,0.2945397857487493,1.0339444011636727,0.514508086529615,1.8537423554972454
30,90,1.8580693199470513,1.3200945369576564,2.0622310176728633,2.6520412059495446,2.844360806589006,0.15970851680354495,0.23131440782608922,0.16460940335942978,0.18546905339253686,0.18018666969305774,0.11159567664797199,0.07927700331518946,0.06160382521879722,0.09899191669639591,0.08716118521879973,0.08526422959505897,0.06557515839755744,0.11716872364730666,0.10013126862083947,0.08475906254562464,0.06220615357413671,0.11690371330695268,0.09874700640777545,0.08049638007034214,0.06062083609349682,0.10234428619362461,0.08816944505837418
60,120,1.6355373773301252,1.293599110318057,1.6714081181164437,2.479761543080992,2.8365598872231117,0.18637862251688891,0.2726039932140705,0.17599049938850647,0.18249179185500694,0.23174578619601502,0.1159698829948827,0.05695417521991314,0.048158288272152176,0.07062435173609376,0.0750070926599662,0.061526085331534065,0.05201957782760869,0.08073299010185023,0.0890557267862433,0.06085653487302197,0.0497871695720023,0.08006672185595388,0.08735551748633212,0.057416651760536175,0.0482821645267389,0.07201993090538159,0.07633740359082619
90,150,1.331414730424209,1.3477713635716821,1.2853904429536027,2.6745336456925957,2.843048283078523,0.18799437322324355,0.29405288027969745,0.1484690858324208,0.18131150453649134,0.2760945035160483,0.11522262032040659,0.02728517843473914,0.023102940770556805,0.044854165203401276,0.043694199410036626,0.02921695437052737,0.022929663120354903,0.047267752760321975,0.04480089623630774,0.030303930289818846,0.02288103950410098,0.047596860266672876,0.044771334939063503,0.028759993637193296,0.02361398931122658,0.04554312486646049,0.04368019108712431
120,180,1.4262414532830947,1.5006876605336688,1.4852821107366942,2.919272142248576,2.823878614323077,0.1990042902540688,0.33590681974927766,0.1334672871652442,0.1901824152696419,0.3152209370186734,0.12289203678311103,0.060527189841032024,0.07534609267997183,0.0827093456187787,0.09857040181904984,0.06634674759245221,0.08186359952206522,0.09083181329927459,0.1088597637515936,0.0718324760936332,0.08776950385408369,0.09570525307748219,0.11563289599058944,0.06456473520952515,0.0803436385459327,0.0857408270933083,0.10159960854928395
150,210,1.8502264636003913,1.5547967693679583,1.8397458845646417,2.990947176950067,2.899413184030789,0.19570837339478278,0.2995642287627863,0.12142034695766427,0.18665528736326112,0.25401870153279116,0.11371606416485246,0.0865347867395288,0.07501574847591388,0.1012003069671621,0.09573645971761569,0.09202301089336319,0.08176228899154915,0.11588489572929317,0.1062367736850389,0.09813966201972647,0.08759346177217209,0.12090395977641619,0.11257916013045073,0.0901506235525738,0.08078244406491575,0.10490717524024583,0.09857980306727075
180,240,2.119260883336258,1.2889939058726414,2.107012547447477,2.3919841090377463,2.8829683885241253,0.2035674504713836,0.2682958043840497,0.16347692287338897,0.19337219460766983,0.20607769983588747,0.11180793028299055,0.11332524472488298,0.07921670864332453,0.09808974720312054,0.07883316539330117,0.1237159836017761,0.08855254050984182,0.11430705105586478,0.09449555367659283,0.125249814380394,0.0887560375152771,0.11348817621985013,0.09419764208503571,0.11883702302042419,0.08202053578694189,0.10017228268619421,0.08076361913318028
210,270,1.748871765146719,1.0596415815581295,1.6942717812699177,1.6589876933181396,2.4144127542371896,0.21121730038637487,0.27638106419858094,0.18784410419088268,0.1943740232049485,0.24408984901967543,0.12274043347359574,0.13081213787256443,0.08499562411736823,0.15124376394536376,0.1445146033526423,0.1462987713572119,0.09618224317680357,0.1753739129180229,0.15992604601181276,0.14627486180112698,0.09409315807349222,0.17223528497612745,0.15910226468685137,0.13780824394363783,0.0871790613631298,0.15843494359595633,0.14740374532801184
240,300,1.7949491815974314,1.3915031720397801,1.5076910350126196,1.783070143124506,2.3618825624631925,0.19980261322887577,0.2496441024159314,0.14021481899645744,0.17881256674907453,0.23876911031436723,0.12125174090165361,0.2002047883469175,0.22803190502902843,0.21531798580996067,0.17963908934940032,0.22250228513358772,0.24915418960463187,0.2448432595360127,0.19832852922533553,0.21955891896114735,0.2457776919325134,0.24631563506683418,0.20299825366176527,0.2050760964586614,0.23056201530926126,0.22730580086324895,0.1866002072246658
270,330,2.4094893686717804,1.5602618651557423,1.775912064545367,2.197012156466949,2.756484263357108,0.18388044503876771,0.25209700438169114,0.1288102464772239,0.2268462533306625,0.28169980707881354,0.13511071173169106,0.20840596419085808,0.22581719711987003,0.28606449489982666,0.2921253398661155,0.22798706084711412,0.24603831987516656,0.31367498081020395,0.3144498732675389,0.22456790631698928,0.24298536410109278,0.3103890560147549,0.3085452780290144,0.21082809891376603,0.22838646688901482,0.2926074450095987,0.2924155430980926
