start_frame,end_frame,dist_wrists_mean,noseL_wrist_mean,noseR_wrist_mean,elbowL_mean,elbowR_mean,L_wrist_pinky_mean,L_wrist_index_mean,L_wrist_thumb_mean,R_wrist_pinky_mean,R_wrist_index_mean,R_wrist_thumb_mean,landmark_15_vel_mean,landmark_15_vel_std,landmark_16_vel_mean,landmark_16_vel_std,landmark_17_vel_mean,landmark_17_vel_std,landmark_18_vel_mean,landmark_18_vel_std,landmark_19_vel_mean,landmark_19_vel_std,landmark_20_vel_mean,landmark_20_vel_std,landmark_21_vel_mean,landmark_21_vel_std,landmark_22_vel_mean,landmark_22_vel_std
0,60,1.1786627263764753,1.1226291521274527,0.8974887936462722,0.5641254976955885,0.5704745430177941,0.2750238900415216,0.27022345262538405,0.1480574802837377,0.2603091695204753,0.2803197043635207,0.1293045186048908,0.16950713581371912,0.1253075072517272,0.19792678341393932,0.19394796175763682,0.18251369657933933,0.13087445740417306,0.21333784077638293,0.20230846088520754,0.18660421042823816,0.13580217687765386,0.20346380245473883,0.19712275497963544,0.17251886786913906,0.12766115376829393,0.19315220807405853,0.19152641734830098
30,90,1.1460143606574598,0.951052695591422,0.8911878033130954,0.5786226997077175,0.839602099897651,0.22882936813370353,0.24520531600884754,0.1447250622830785,0.20108434306463283,0.237771719617371,0.12455726348489174,0.10910924018256342,0.10892938570120976,0.12005782338257259,0.13661119969574378,0.119285326382739,0.11828541333677654,0.13334878464703598,0.14638135109833994,0.12146755871586076,0.12322448309246876,0.1312535120264529,0.14163816330434198,0.11130780525300762,0.11104169306267236,0.12061724028343848,0.13588898527319854
60,120,1.0158550194297902,0.9116422010685878,0.8484723920332612,0.9756014408552196,1.0130499760306366,0.22530689820730074,0.2861613610617235,0.1796250097420563,0.20951121064459466,0.2503356634515196,0.14040176656819214,0.08458792333802634,0.104019080676721,0.07945915857345923,0.08209879337305866,0.09176448561355731,0.11336548708850101,0.09039947362907799,0.09146543202790125,0.09398723010397543,0.1149837202988154,0.09157475344639755,0.09392331594108344,0.0857228850018904,0.10505184142296269,0.08064790550327362,0.08415100786077079
90,150,1.2728332016650514,1.0470919345100043,0.856787143611476,1.125900259667266,1.1260153184970945,0.26910420973292254,0.3376465378918281,0.1928880156919021,0.23709951687120304,0.29820233455009787,0.1259072272047799,0.2186953767220922,0.26204643434896663,0.21641809523563446,0.38573333109327484,0.24035273687152953,0.28754279700411034,0.239774051263252,0.41977745901606134,0.2428663618471105,0.29281243881180524,0.23839530563986935,0.4057634299501312,0.22240974910596223,0.2674208788685342,0.219628497617501,0.3845952890394632
120,180,1.6967800746752495,1.267833627938513,1.0666408242370076,1.8084670470547224,1.182422781112886,0.24732185389392666,0.3200464159873218,0.14086309961546684,0.2327903183297929,0.3065935946658547,0.11274625197060167,0.5554952634440797,0.558136127639765,0.4836539792950504,0.542226838647226,0.6225609600111698,0.6221331492544859,0.530459618381388,0.5950604896027243,0.619025385266487,0.6056322859068737,0.5436225849990924,0.5827840659157735,0.5640429048920085,0.5609934108246964,0.49885749227859033,0.5452901380000924
150,210,1.6209329217042672,1.2246632936089075,1.1169452226481418,2.376051433501061,1.3426916983434327,0.19577208727397685,0.2598998010146303,0.0921483844305858,0.22560219722644603,0.2818235223229644,0.12727128986228975,0.6815252214548767,0.5497022121809686,0.5032104593317467,0.45445722366740227,0.7775026657106441,0.6022411111736823,0.5535580927445365,0.4939735501903555,0.7980542472629955,0.5893758097539936,0.5738996625105555,0.4892537505109507,0.7308873947637019,0.5525483143814339,0.5211616365417998,0.4584732723767024
180,240,1.3506340383031101,1.3519690707264387,1.3475773530764945,2.2982676242083793,1.6280492144262868,0.29952063752039615,0.39242175027305426,0.12239799599771796,0.3314502826682908,0.3706674643443989,0.192693472496664,0.5336365561689017,0.37597213292872933,0.46797409342937657,0.3904659653305396,0.631599805470444,0.42462435625640715,0.5152205298146247,0.4138929340549344,0.6550922121586079,0.44429517902573257,0.5149992434517927,0.4251244592748035,0.5951614376939244,0.41674508544274796,0.4800703683082705,0.38967387616540694
210,270,2.1480362385674967,1.7536962935699194,2.1749634159734277,2.260783210326208,1.653097379172401,0.4035009274205819,0.5227782116003409,0.16011178285742117,0.4572856581848673,0.4556802174401339,0.2216045254899974,1.2375798450747237,1.661098914635961,0.9660045130204127,1.1677312905478832,1.397057922812039,1.8348677096456485,1.0628119556660665,1.2818385758267177,1.3776077275856669,1.8190141178151777,1.0217507168876587,1.2707085914850418,1.2663693070452628,1.6931790497047534,0.9831219107908842,1.172780067343795
240,300,1.9656394808907947,1.420441179833389,1.869494803130688,1.5082218707266948,1.326957638934637,0.35523026975808963,0.4067974746008895,0.16157941454972952,0.3936945113309194,0.3963841640322825,0.15832508275877347,1.0565961685329333,1.7280693737072177,0.7957045731265343,1.2050389388416936,1.1717521779903624,1.9159068529674106,0.8750511928514412,1.3249499033962717,1.1609399980035675,1.8978952106127613,0.833920666232093,1.3051754735821701,1.076715005405246,1.7616769362205724,0.8063590844433675,1.2134425429699176
270,330,1.702480835571561,1.05217764733896,1.4733566276763568,1.527520663807072,1.6792043043692289,0.3208612091008174,0.3378637233695946,0.20217324076698828,0.27824611962074575,0.3487770333523489,0.15253397149344125,0.11450127465750438,0.10144123232198303,0.29731237504089436,0.26066185003953274,0.12512791496551978,0.10847909749418348,0.3232602798722452,0.28087017773855044,0.1240567959688374,0.1064947662685428,0.31568286414109314,0.2732378752706272,0.11647845816957857,0.1009952246027337,0.2997499879880508,0.2596760445662577
